,city,district,neighborhood,room,living_room,area,age,floor,price
1484,izmir,cesme,germiyan,2,1,110,2,2,15000
1485,izmir,balcova,egitim,2,1,85,14,3,16000
1486,izmir,foca,kazim_dirik,2,1,90,2,2,14000
1487,izmir,seferihisar,ataturk,3,1,130,17,2,45000
1488,izmir,konak,alsancak,3,1,160,25,2,20000
1489,izmir,menemen,gazi_mustafa_kemal,2,1,85,6,3,12500
1490,izmir,buca,yesilbaglar,2,1,125,21,3,10000
1491,izmir,karsiyaka,bostanli,3,1,130,30,2,22000
1492,izmir,seferihisar,camikebir,3,1,108,5,5,18000
1493,izmir,balcova,cetin_emec,1,1,60,25,1,12000
1495,izmir,seferihisar,colak_ibrahim_bey,2,1,105,3,2,22000
1496,izmir,gaziemir,irmak,2,1,85,4,2,22000
1497,izmir,menemen,inonu,1,1,50,7,3,10000
1498,izmir,bornova,ataturk,2,1,130,20,2,14000
1500,izmir,balcova,fevzi_cakmak,1,1,50,5,2,21500
1502,izmir,cigli,balatcik,2,1,95,15,1,12000
1504,izmir,karabaglar,arap_hasan,3,1,135,27,2,16000
1505,izmir,urla,gulbahce,2,1,70,8,0,26000
1506,izmir,balcova,cetin_emec,2,1,105,10,4,20000
1507,izmir,karsiyaka,semikler,1,1,85,4,5,22500
1508,izmir,menemen,gazi_mustafa_kemal,1,1,47,0,0,8000
1509,izmir,buca,kurucesme,1,1,55,4,2,10000
1511,izmir,bornova,kazimdirik,1,1,43,0,1,22500
1512,izmir,menemen,inonu,1,1,55,4,1,10500
1514,izmir,karsiyaka,bostanli,3,1,160,32,5,25000
1516,izmir,bayrakli,muhittin_erener,2,1,85,21,3,7500
1518,izmir,karaburun,mordogan,2,1,100,0,0,22000
1519,izmir,bornova,gazi_osman_pasa,1,1,70,20,3,8000
1520,izmir,cigli,atasehir,2,1,95,0,6,39000
1523,izmir,balcova,onur,1,1,85,28,0,19000
1524,izmir,bayrakli,osmangazi,3,1,125,20,3,15000
1525,izmir,buca,laleli,2,1,120,14,0,16500
1526,izmir,guzelbahce,yali,2,1,80,25,5,22500
1527,izmir,balcova,egitim,2,1,120,35,0,20000
1528,izmir,konak,mehmet_ali_akman,3,1,120,40,2,29500
1529,izmir,bayrakli,manavkuyu,3,1,130,25,3,20000
1530,izmir,karabaglar,vatan,3,1,100,31,-1,13000
1531,izmir,torbali,muratbey,3,1,155,11,4,12500
1532,izmir,karabaglar,devrim,3,1,135,20,1,15750
1533,izmir,karabaglar,bahcelievler,3,1,110,31,2,15000
1534,izmir,urla,yelalti,2,1,90,5,2,17000
1535,izmir,gaziemir,emrez,3,1,95,35,3,10000
1536,izmir,buca,kurucesme,1,1,55,4,2,12000
1537,izmir,konak,mimar_sinan,4,1,200,30,1,40000
1538,izmir,karsiyaka,bahcelievler,3,1,140,25,1,21750
1539,izmir,buca,yildiz,1,1,50,4,2,12000
1540,izmir,karabaglar,gulyaka,2,1,63,3,1,12000
1544,izmir,karsiyaka,fikri_altay,3,1,135,25,3,25000
1545,izmir,gaziemir,sevgi,3,1,120,30,3,22000
1546,izmir,guzelbahce,siteler,2,1,80,35,5,25500
1547,izmir,karsiyaka,aksoy,3,1,120,28,1,25000
1548,izmir,konak,guzelyali,3,1,120,40,6,21000
1549,izmir,dikili,candarli,1,1,55,1,0,10000
1550,izmir,karabaglar,cennetoglu,3,1,148,16,3,12000
1551,izmir,menemen,inonu,2,1,65,0,1,10500
1552,izmir,gaziemir,hurriyet,3,1,120,11,0,10000
1553,izmir,menemen,irmak,3,1,130,10,3,12000
1554,izmir,karsiyaka,semikler,3,1,125,26,2,18000
1555,izmir,konak,mimar_sinan,2,1,100,26,3,25000
1556,izmir,foca,ataturk,2,1,65,25,5,20000
1557,izmir,cesme,yali,3,1,140,5,0,25000
1558,izmir,bornova,inonu,3,1,120,25,1,15000
1561,izmir,buca,guven,2,1,35,30,2,16500
1562,izmir,guzelbahce,yali,3,1,190,11,2,30000
1564,izmir,konak,atilla,2,1,70,15,1,12000
1565,izmir,konak,kahramanlar,2,1,100,26,1,20000
1566,izmir,konak,atilla,2,1,70,30,2,12000
1568,izmir,menemen,29_ekim,3,1,160,1,1,25000
1569,izmir,odemis,akincilar,3,1,130,25,5,13000
1570,izmir,menemen,istiklal,2,1,100,15,1,11000
1572,izmir,foca,mustafa_kemal_ataturk,2,1,85,6,1,18000
1573,izmir,buca,adatepe,2,1,85,6,3,19000
1576,izmir,gaziemir,ataturk,1,1,70,15,0,8000
1578,izmir,seferihisar,camikebir,2,1,110,21,1,15000
1580,izmir,seferihisar,camikebir,3,1,119,0,4,22000
1581,izmir,buca,kurucesme,1,1,55,4,2,10000
1582,izmir,karabaglar,bahcelievler,2,1,80,38,3,15000
1583,izmir,karaburun,merkez,1,1,35,4,0,10000
1585,izmir,kinik,turkcedit,2,1,90,4,0,10000
1586,izmir,foca,mustafa_kemal_ataturk,2,1,90,31,3,55000
1587,izmir,bayrakli,adalet,3,1,120,18,3,10000
1589,izmir,urla,iskele,1,1,85,2,0,18000
1590,izmir,cesme,germiyan,2,1,100,21,2,15000
1592,izmir,bayrakli,r_sevket_ince,3,1,155,15,3,9000
1593,izmir,cigli,inonu,2,1,120,12,5,17000
1594,izmir,bornova,kazimdirik,3,1,125,25,3,19000
1595,izmir,bornova,doganlar,2,1,100,13,2,23000
1596,izmir,buca,ataturk,2,1,65,0,3,15000
1597,izmir,konak,kilic_reis,3,1,135,28,4,15000
1598,izmir,konak,kultur,2,1,95,31,2,18000
1599,izmir,bergama,maltepe,3,1,110,25,5,10000
1600,izmir,menemen,istiklal,3,1,140,5,3,20000
1601,izmir,konak,kemal_reis,2,1,95,35,5,16000
1602,izmir,cigli,atasehir,2,1,85,0,0,35000
1603,izmir,karabaglar,bahcelievler,2,1,95,21,2,22000
1604,izmir,dikili,salimbey,3,1,170,16,3,45000
1605,izmir,odemis,suleyman_demirel,3,1,132,26,4,12000
1607,izmir,dikili,candarli,3,1,120,5,0,18000
1608,izmir,kemalpasa,ornekkoy,3,1,150,0,0,37500
1609,izmir,karabaglar,gunaltay,3,1,120,11,4,13000
1610,izmir,kemalpasa,ulucak_cumhuriyet,3,1,135,5,4,18000
1611,izmir,karabaglar,esenlik,3,1,130,30,3,15000
1612,izmir,buca,akincilar,3,1,142,44,2,19750
1613,izmir,cigli,ahmet_taner_kislali,4,1,165,29,2,19000
1614,izmir,urla,zeytinalani,2,1,100,0,0,22000
1615,izmir,guzelbahce,mustafa_kemal_pasa,2,1,100,1,0,45000
1616,izmir,aliaga,kultur,4,1,150,13,3,30000
1618,izmir,buca,yigitler,2,1,100,26,3,15000
1620,izmir,bornova,kemalpasa,3,1,145,11,3,16000
1621,izmir,konak,kilic_reis,2,1,100,35,3,22000
1622,izmir,odemis,ataturk,3,1,120,28,3,6000
1623,izmir,gaziemir,hurriyet,3,1,145,17,2,15000
1624,izmir,torbali,tepekoy,2,1,110,20,1,13500
1625,izmir,torbali,torbali,2,1,200,6,2,21000
1627,izmir,bornova,inonu,3,1,120,11,1,18000
1628,izmir,foca,mustafa_kemal_ataturk,2,1,85,21,2,20000
1629,izmir,konak,alsancak,2,1,70,25,2,20000
1630,izmir,buca,kozagac,2,1,120,20,5,20000
1631,izmir,menemen,mermerli,3,1,140,5,3,20000
1632,izmir,karabaglar,maliyeciler,3,1,120,10,4,20000
1633,izmir,bornova,erzene,3,1,110,26,6,18000
1634,izmir,narlidere,2_inonu,3,1,166,11,4,34000
1635,izmir,konak,kultur,3,1,145,30,3,52500
1636,izmir,konak,alsancak,3,1,120,40,1,32000
1637,izmir,karsiyaka,bostanli,3,1,145,28,4,25000
1638,izmir,menderes,mithatpasa,1,1,65,25,5,15000
1639,izmir,karabaglar,kazim_karabekir,1,1,60,1,1,10000
1641,izmir,menderes,gumuldur_fevzi_cakmak,2,1,80,5,0,10000
1642,izmir,foca,ataturk,3,1,135,15,0,25000
1643,izmir,menemen,9_eylul,3,1,120,20,5,16000
1645,izmir,cigli,cumhuriyet,3,1,145,5,1,16000
1646,izmir,gaziemir,yesil,2,1,96,26,5,25000
1647,izmir,gaziemir,gazikent,3,1,130,21,1,19360
1650,izmir,foca,kazim_dirik,2,1,90,4,2,15000
1651,izmir,bornova,evka_4,2,1,85,20,1,13000
1652,izmir,konak,atilla,2,1,90,15,-2,4000
1653,izmir,urla,yelalti,4,1,125,20,5,35000
1654,izmir,balcova,fevzi_cakmak,1,1,41,30,0,8000
1655,izmir,konak,alsancak,3,1,120,30,3,20000
1656,izmir,konak,guzelyali,3,1,120,35,5,17500
1657,izmir,menderes,cukuralti,3,1,150,26,0,35000
1658,izmir,buca,yildiz,1,1,55,4,2,12000
1659,izmir,karabaglar,esenyali,3,1,130,30,4,13250
1660,izmir,bayrakli,sogukkuyu,3,1,135,18,5,15000
1661,izmir,cesme,reisdere,4,1,120,10,2,4000
1662,izmir,buca,baris,2,1,115,7,3,10000
1663,izmir,odemis,hurriyet,3,1,125,0,3,13500
1664,izmir,menemen,mermerli,3,1,110,30,4,10000
1665,izmir,tire,hurriyet,3,1,143,0,3,19500
1666,izmir,buca,yaylacik,1,1,50,4,2,13000
1668,izmir,karsiyaka,yali,1,1,64,8,3,25500
1670,izmir,narlidere,sahilevleri,2,1,100,15,0,20000
1671,izmir,karabaglar,esenlik,2,1,65,0,1,16000
1672,izmir,cigli,balatcik,1,1,55,4,4,15000
1673,izmir,menemen,gazi_mustafa_kemal,1,1,47,0,0,8000
1674,izmir,buca,ataturk,1,1,65,7,6,13000
1675,izmir,foca,mustafa_kemal_ataturk,2,1,90,11,0,30000
1676,izmir,bayrakli,tepekule,2,1,100,17,0,8000
1677,izmir,menderes,gumuldur_inonu,2,1,65,25,0,3500
1678,izmir,foca,ataturk,3,1,95,25,2,17000
1679,izmir,buca,kurucesme,1,1,55,7,3,12000
1680,izmir,karsiyaka,dedebasi,3,1,120,3,1,18000
1681,izmir,karsiyaka,dedebasi,1,1,70,4,3,15000
1682,izmir,bayrakli,osmangazi,1,1,65,4,1,18000
1684,izmir,buca,baris,3,1,140,25,5,16500
1685,izmir,cigli,kucuk_cigli,2,1,90,20,3,15500
1686,izmir,buca,inkilap,2,1,100,30,5,9800
1687,izmir,menderes,golcukler,3,1,130,10,5,16500
1688,izmir,karabaglar,bahcelievler,2,1,90,31,2,17500
1689,izmir,karsiyaka,aksoy,2,1,95,35,1,18000
1690,izmir,bornova,inonu,3,1,130,16,1,15000
1691,izmir,menemen,inonu,2,1,75,0,2,13000
1692,izmir,konak,kilic_reis,2,1,85,40,2,11000
1693,izmir,buca,baris,2,1,80,35,3,12500
1694,izmir,bornova,evka_4,2,1,75,25,3,12000
1696,izmir,odemis,cumhuriyet,2,1,110,26,4,8000
1697,izmir,odemis,cumhuriyet,3,1,135,30,5,8500
1698,izmir,menemen,inonu,1,1,45,0,3,11000
1699,izmir,buca,dicle,2,1,110,20,3,13500
1700,izmir,buca,akincilar,2,1,75,5,2,16000
1703,izmir,cesme,yali,3,1,140,22,2,30000
1704,izmir,torbali,ataturk,3,1,165,5,2,12000
1705,izmir,odemis,ataturk,1,1,110,26,5,8500
1706,izmir,bayrakli,muhittin_erener,3,1,105,2,2,18000
1707,izmir,balcova,cetin_emec,3,1,150,11,3,25000
1708,izmir,buca,kozagac,3,1,143,12,0,25000
1710,izmir,menderes,oglananasi_ataturk,1,1,45,3,0,11500
1711,izmir,kemalpasa,armutlu_85_yil_cumhuriyet,2,1,90,0,3,12000
1712,izmir,bornova,inonu,1,1,45,15,5,15000
1713,izmir,narlidere,ilica,3,1,160,21,1,34500
1714,izmir,karabaglar,bahar,2,1,100,20,2,10000
1715,izmir,bornova,kizilay,3,1,130,4,2,18000
1716,izmir,karabaglar,gunaltay,1,1,70,16,1,11000
1717,izmir,menderes,sasal,2,1,150,0,5,20000
1718,izmir,cigli,ataturk,3,1,170,11,5,20000
1719,izmir,menderes,gumuldur_fevzi_cakmak,2,1,80,12,5,14000
1721,izmir,foca,kazim_dirik,2,1,80,10,2,15000
1722,izmir,buca,kurucesme,1,1,70,0,2,10000
1725,izmir,selcuk,cumhuriyet,3,1,120,20,2,15000
1726,izmir,gaziemir,menderes,3,1,150,15,1,18000
1727,izmir,karabaglar,bahcelievler,2,1,85,8,5,18000
1728,izmir,buca,ataturk,2,1,100,21,1,14000
1729,izmir,bornova,kazimdirik,2,1,100,28,2,17000
1730,izmir,foca,kazim_dirik,2,1,90,2,0,13000
1731,izmir,buca,camlikule,2,1,85,15,1,13000
1732,izmir,bayrakli,sogukkuyu,3,1,170,5,4,35000
1733,izmir,torbali,torbali,3,1,120,10,5,12000
1734,izmir,cigli,guzeltepe,2,1,90,25,3,10000
1735,izmir,karabaglar,metin_oktay,2,1,105,25,4,13000
1736,izmir,bergama,ertugrul,4,1,150,18,5,13500
1737,izmir,buca,sirinkapi,3,1,170,30,2,15000
1740,izmir,menemen,inonu,2,1,81,7,2,13000
1742,izmir,bornova,kazimdirik,1,1,60,7,5,22500
1743,izmir,karsiyaka,semikler,3,1,105,30,2,10000
1745,izmir,seferihisar,colak_ibrahim_bey,3,1,130,10,4,20000
1746,izmir,buca,baris,3,1,120,30,4,14000
1748,izmir,karabaglar,metin_oktay,3,1,140,26,4,16000
1749,izmir,foca,kozbeyli,2,1,85,5,0,10500
1750,izmir,foca,mustafa_kemal_ataturk,3,1,100,3,0,30000
1752,izmir,cigli,atasehir,1,1,86,5,5,20000
1753,izmir,menemen,gazi_mustafa_kemal,3,1,120,11,3,16000
1755,izmir,konak,mimar_sinan,2,1,100,35,1,15000
1756,izmir,konak,murat_reis,2,1,95,27,1,15000
1757,izmir,buca,yenigun,3,1,200,11,3,20000
1759,izmir,menemen,ataturk,2,1,110,1,3,14500
1760,izmir,karsiyaka,tersane,3,1,105,25,5,15500
1761,izmir,bayrakli,manavkuyu,3,1,130,21,3,20000
1762,izmir,narlidere,2_inonu,3,1,168,13,2,26500
1764,izmir,buca,hurriyet,3,1,115,15,1,15000
1765,izmir,odemis,anafartalar,3,1,135,20,3,10000
1766,izmir,bornova,kazimdirik,2,1,116,0,2,32000
1767,izmir,buca,kurucesme,1,1,55,4,2,13000
1768,izmir,seferihisar,camikebir,2,1,93,0,3,15500
1769,izmir,bornova,inonu,3,1,120,16,1,15000
1770,izmir,bornova,inonu,3,1,115,19,2,16000
1773,izmir,konak,mithatpasa,3,1,141,22,3,18450
1775,izmir,gaziemir,dokuz_eylul,3,1,170,10,-2,15000
1776,izmir,buca,kozagac,1,1,50,0,3,13000
1777,izmir,menderes,gumuldur_fevzi_cakmak,1,1,60,5,1,11000
1778,izmir,bornova,kemalpasa,3,1,95,18,0,13000
1779,izmir,bornova,ataturk,1,1,50,25,0,8500
1780,izmir,foca,kazim_dirik,2,1,90,2,3,15000
1781,izmir,karsiyaka,yali,3,1,165,4,6,40000
1782,izmir,gaziemir,zafer,3,1,110,24,3,15000
1783,izmir,buca,menderes,3,1,120,31,5,16000
1785,izmir,odemis,hurriyet,3,1,155,0,1,15000
1786,izmir,bornova,kazimdirik,1,1,59,9,0,20000
1787,izmir,odemis,bengisu,3,1,140,4,0,11000
1788,izmir,torbali,bahcelievler,3,1,95,15,2,10000
1789,izmir,odemis,ataturk,3,1,115,25,5,5500
1790,izmir,buca,adatepe,3,1,125,5,0,15000
1791,izmir,kemalpasa,armutlu_85_yil_cumhuriyet,1,1,77,0,2,11000
1792,izmir,buca,efeler,2,1,120,20,2,11000
1793,izmir,gaziemir,irmak,1,1,75,0,1,18000
1795,izmir,dikili,cumhuriyet,3,1,220,14,2,28000
1796,izmir,menderes,kasimpasa,3,1,160,0,3,25000
1797,izmir,urla,gulbahce,2,1,60,6,0,25000
1798,izmir,konak,guzelyali,3,1,140,40,4,30000
1799,izmir,cigli,atasehir,1,1,65,3,5,21000
1800,izmir,menderes,gumuldur_fevzi_cakmak,2,1,80,10,1,15000
1801,izmir,torbali,inonu,2,1,110,4,4,17500
1802,izmir,foca,kazim_dirik,2,1,145,3,0,15000
1803,izmir,selcuk,cumhuriyet,3,1,125,25,3,20000
1805,izmir,bornova,ataturk,3,1,115,25,0,14000
1806,izmir,balcova,koruturk,3,1,110,34,5,16000
1807,izmir,bayrakli,yamanlar,3,1,140,30,1,11000
1808,izmir,karabaglar,general_kazim_ozalp,1,1,65,6,2,15000
1809,izmir,karabaglar,bahar,3,1,145,25,3,20000
1810,izmir,menemen,irmak,2,1,110,0,2,11000
1812,izmir,bornova,mevlana,1,1,55,1,1,13000
1813,izmir,menderes,gumuldur_cumhuriyet,1,1,50,25,2,15000
1814,izmir,cigli,kucuk_cigli,1,1,55,0,1,15250
1815,izmir,konak,alsancak,2,1,90,25,1,14000
1816,izmir,karsiyaka,ornekkoy,3,1,140,10,2,17000
1817,izmir,konak,atilla,3,1,140,25,5,15500
1820,izmir,karabaglar,adnan_suvari,2,1,80,5,1,13000
1821,izmir,buca,ataturk,1,1,65,3,3,12000
1822,izmir,buca,kurucesme,2,1,70,3,-1,12000
1823,izmir,karabaglar,poligon,3,1,145,25,3,20000
1824,izmir,karsiyaka,bostanli,3,1,110,30,1,23000
1825,izmir,gaziemir,beyazevler,1,1,60,6,6,20000
1826,izmir,konak,kahramanlar,3,1,135,35,2,30000
1827,izmir,karsiyaka,fikri_altay,3,1,120,20,4,20000
1828,izmir,karabaglar,fahrettin_altay,3,1,120,26,3,18000
1829,izmir,buca,adatepe,1,1,55,4,4,12500
1830,izmir,odemis,cumhuriyet,1,1,100,5,5,9000
1831,izmir,bornova,rafet_pasa,1,1,98,5,6,24000
1832,izmir,bayrakli,bayrakli,2,1,100,25,4,12000
1834,izmir,narlidere,sahilevleri,2,1,100,15,1,20000
1835,izmir,konak,cankaya,2,1,110,25,2,16000
1836,izmir,bayrakli,osmangazi,3,1,130,20,2,13000
1837,izmir,balcova,onur,3,1,145,23,5,19000
1839,izmir,odemis,ataturk,3,1,160,15,4,16500
1840,izmir,karabaglar,calikusu,3,1,160,11,4,23500
1841,izmir,bornova,inonu,1,1,80,25,4,13500
1842,izmir,menemen,85_yil_cumhuriyet,1,1,50,0,1,10000
1845,izmir,buca,camlikule,2,1,100,15,-1,13000
1846,izmir,foca,kazim_dirik,2,1,110,2,2,15000
1848,izmir,menderes,barbaros,2,1,106,13,1,22000
1849,izmir,bornova,kazimdirik,2,1,120,21,3,15000
1851,izmir,karabaglar,bahar,2,1,100,26,2,13000
1852,izmir,gaziemir,zafer,3,1,110,24,3,13000
1853,izmir,odemis,zafer,3,1,160,3,5,18000
1854,izmir,buca,yenigun,1,1,50,1,2,17000
1855,izmir,cigli,atasehir,3,1,145,2,3,25000
1856,izmir,gaziemir,irmak,3,1,125,21,3,20000
1857,izmir,menemen,30_agustos,3,1,110,25,4,15000
1858,izmir,karsiyaka,ornekkoy,2,1,100,11,2,15000
1859,izmir,konak,murat_reis,2,1,90,40,1,15000
1860,izmir,menderes,mithatpasa,4,1,220,0,0,30000
1864,izmir,gaziemir,irmak,2,1,125,5,3,22000
1866,izmir,konak,altintas,3,1,130,35,1,12500
1867,izmir,buca,goksu,2,1,100,20,3,14000
1869,izmir,buca,inkilap,2,1,110,20,3,15000
1870,izmir,selcuk,ataturk,2,1,110,0,3,22000
1871,izmir,karsiyaka,aksoy,2,1,95,35,0,18000
1872,izmir,buca,akincilar,2,1,110,15,3,12500
1873,izmir,cigli,balatcik,1,1,57,1,2,15000
1874,izmir,konak,kemal_reis,2,1,90,32,1,16000
1875,izmir,buca,yaylacik,3,1,150,25,3,18500
1876,izmir,buca,buca_koop,2,1,125,10,2,12500
1877,izmir,odemis,emmioglu,2,1,120,15,5,11500
1878,izmir,menemen,85_yil_cumhuriyet,1,1,60,0,1,10000
1879,izmir,kemalpasa,ulucak_mustafa_kemal_ataturk,2,1,90,16,3,7000
1881,izmir,urla,rustem,3,1,130,10,5,30000
1883,izmir,gaziemir,sevgi,2,1,96,25,3,18000
1884,izmir,buca,efeler,3,1,130,8,1,18000
1885,izmir,konak,murat_reis,2,1,95,31,1,15000
1886,izmir,buca,kurucesme,2,1,65,4,3,13500
1887,izmir,gaziemir,sevgi,2,1,95,15,2,9500
1889,izmir,bergama,fatih,3,1,165,4,5,15000
1890,izmir,karsiyaka,aksoy,2,1,85,7,1,36000
1891,izmir,buca,yildiz,1,1,65,1,3,10000
1892,izmir,karsiyaka,imbatli,3,1,125,0,4,24000
1893,izmir,foca,ataturk,2,1,85,35,3,20000
1894,izmir,karsiyaka,atakent,3,1,130,30,2,27500
1895,izmir,bornova,doganlar,2,1,90,21,0,10500
1896,izmir,konak,alsancak,1,1,75,30,1,16000
1897,izmir,cigli,ahmet_efendi,1,1,74,2,5,13500
1898,izmir,karsiyaka,ornekkoy,2,1,90,5,1,15000
1899,izmir,menderes,ahmetbeyli,3,1,170,20,1,18000
1900,izmir,bergama,tepekoy,2,1,90,0,1,15000
1901,izmir,konak,alsancak,3,1,115,35,1,23000
1902,izmir,urla,haci_isa,3,1,120,35,2,30000
1904,izmir,konak,atilla,3,1,140,21,5,15500
1905,izmir,cigli,balatcik,1,1,55,5,2,16000
1906,izmir,karabaglar,refet_bele,2,1,110,25,-2,10000
1907,izmir,karabaglar,esenyali,3,1,100,30,5,16000
1909,izmir,bornova,kazimdirik,2,1,68,0,1,30000
1910,izmir,karabaglar,arap_hasan,3,1,135,30,6,20000
1911,izmir,buca,kurucesme,1,1,55,3,2,15000
1913,izmir,karabaglar,esenyali,2,1,80,31,1,15000
1914,izmir,dikili,candarli,3,1,120,11,0,18000
1915,izmir,seferihisar,tepecik,3,1,135,21,0,22000
1916,izmir,buca,kurucesme,1,1,50,5,1,10400
1918,izmir,buca,sirinkapi,1,1,50,15,2,4500
1919,izmir,urla,gulbahce,1,1,40,6,0,25000
1920,izmir,buca,camlipinar,2,1,150,25,4,13000
1921,izmir,karsiyaka,bahcelievler,3,1,130,35,1,15000
1922,izmir,seferihisar,hidirlik,2,1,100,15,2,28000
1923,izmir,karabaglar,bahcelievler,3,1,160,30,3,25000
1924,izmir,karabaglar,arap_hasan,3,1,130,19,0,15000
1925,izmir,karsiyaka,yali,2,1,90,5,5,18500
1926,izmir,konak,guzelyali,2,1,100,25,0,20000
1927,izmir,odemis,hurriyet,1,1,60,10,5,8000
1928,izmir,guzelbahce,kahramandere,4,1,180,20,2,35000
1929,izmir,buca,camlipinar,2,1,90,2,3,20000
1930,izmir,cigli,ugur_mumcu,3,1,130,4,3,23000
1931,izmir,balcova,teleferik,1,1,60,11,0,20000
1932,izmir,foca,kazim_dirik,3,1,160,0,-1,13000
1933,izmir,karabaglar,gulyaka,2,1,95,35,1,13000
1934,izmir,narlidere,ilica,3,1,200,22,2,25000
1935,izmir,konak,murat_reis,2,1,90,35,4,13000
1937,izmir,konak,murat_reis,2,1,80,2,1,21000
1938,izmir,balcova,onur,3,1,100,30,1,16000
1939,izmir,menderes,develi,3,1,170,1,2,15000
1940,izmir,karsiyaka,donanmaci,2,1,110,30,3,20000
1941,izmir,foca,ataturk,2,1,85,32,5,20000
1942,izmir,torbali,inonu,3,1,145,1,6,14000
1943,izmir,buca,ataturk,1,1,45,6,3,13000
1944,izmir,bornova,karacaoglan,1,1,78,4,4,25000
1949,izmir,karabaglar,poligon,2,1,75,39,4,15000
1950,izmir,konak,akin_simav,2,1,85,30,1,13000
1951,izmir,karabaglar,doganay,2,1,100,21,2,18000
1953,izmir,konak,alsancak,2,1,100,30,6,22500
1954,izmir,menemen,85_yil_cumhuriyet,1,1,52,0,3,7950
1955,izmir,menderes,kasimpasa,3,1,150,20,5,15500
1956,izmir,bornova,inonu,3,1,110,16,2,15000
1959,izmir,karabaglar,esenlik,2,1,85,26,1,15000
1961,izmir,buca,goksu,2,1,100,17,3,13000
1962,izmir,buca,akincilar,2,1,120,25,4,20000
1963,izmir,buca,vali_rahmi_bey,3,1,150,26,2,20000
1965,izmir,selcuk,zafer,3,1,125,20,2,15000
1966,izmir,dikili,candarli,3,1,100,8,0,13000
1968,izmir,menderes,gumuldur_fevzi_cakmak,1,1,55,17,3,12000
1969,izmir,konak,altintas,2,1,85,35,3,11000
1970,izmir,bayrakli,bayrakli,2,1,110,21,2,15000
1972,izmir,urla,icmeler,1,1,135,1,1,13500
1974,izmir,bornova,inonu,3,1,120,0,2,20000
1975,izmir,buca,kurucesme,1,1,40,5,1,11000
1976,izmir,karabaglar,vatan,2,1,90,28,4,11000
1977,izmir,bayrakli,mansuroglu,2,1,74,1,5,27500
1978,izmir,bayrakli,korfez,3,1,160,11,3,25000
1979,izmir,karsiyaka,nergiz,3,1,150,25,5,15000
1980,izmir,gaziemir,gazikent,2,1,95,20,5,29000
1981,izmir,buca,menderes,1,1,55,3,1,15000
1983,izmir,karsiyaka,imbatli,1,1,65,4,3,20000
1984,izmir,buca,ataturk,1,1,60,5,3,10500
1985,izmir,torbali,torbali,1,1,65,3,3,13000
1986,izmir,bornova,birlik,2,1,110,21,2,13500
1987,izmir,buca,yildiz,3,1,110,16,0,14000
1988,izmir,karsiyaka,bahcelievler,3,1,115,25,4,16000
1989,izmir,odemis,zafer,2,1,100,30,4,7500
1990,izmir,bergama,ataturk,2,1,85,0,1,14000
1992,izmir,cigli,balatcik,1,1,55,8,4,15000
1993,izmir,karsiyaka,imbatli,2,1,100,0,4,18000
1994,izmir,dikili,candarli,2,1,60,3,1,20000
1995,izmir,foca,cumhuriyet,4,1,200,21,2,55000
1996,izmir,balcova,cetin_emec,3,1,115,17,3,32000
1999,izmir,karabaglar,refet_bele,3,1,135,15,1,15000
2000,izmir,konak,murat_reis,3,1,130,26,3,17000
2001,izmir,karsiyaka,bahcelievler,2,1,95,30,5,14000
2002,izmir,karsiyaka,semikler,1,1,55,5,1,15000
2003,izmir,karsiyaka,zubeyde_hanim,1,1,55,5,2,20500
2004,izmir,menemen,85_yil_cumhuriyet,1,1,60,2,2,10000
2005,izmir,urla,denizli,3,1,150,21,0,50000
2007,izmir,buca,efeler,3,1,110,2,4,25000
2009,izmir,foca,kazim_dirik,2,1,150,0,0,20000
2013,izmir,karabaglar,bahcelievler,3,1,135,35,2,18000
2014,izmir,urla,gulbahce,1,1,40,1,1,24000
2017,izmir,konak,goztepe,3,1,125,39,3,20000
2019,izmir,buca,menderes,3,1,150,23,5,16500
2020,izmir,torbali,inonu,2,1,90,20,1,9000
2021,izmir,buca,sirinkapi,1,1,50,0,2,10000
2023,izmir,menemen,kasimpasa,3,1,130,25,1,12500
2025,izmir,konak,kahramanlar,2,1,120,31,3,20000
2026,izmir,urla,ozbek,1,1,25,8,2,16000
2027,izmir,karabaglar,doganay,2,1,115,25,2,18000
2028,izmir,cigli,yeni_mahalle,1,1,50,7,3,12500
2030,izmir,menderes,cuneytbey,1,1,60,4,1,12000
2031,izmir,karabaglar,vatan,2,1,80,0,3,17000
2036,izmir,gaziemir,menderes,2,1,125,15,5,15000
2037,izmir,bayrakli,tepekule,3,1,120,20,1,12000
2039,izmir,odemis,inonu,3,1,135,31,2,10500
2040,izmir,konak,alsancak,3,1,105,15,4,28000
2041,izmir,cigli,kucuk_cigli,3,1,180,5,1,20000
2042,izmir,karabaglar,arap_hasan,1,1,90,0,1,20000
2043,izmir,torbali,inonu,2,1,100,8,3,10000
2045,izmir,bornova,zafer,3,1,141,30,0,12000
2046,izmir,torbali,tepekoy,2,1,100,3,4,11500
2047,izmir,seferihisar,tepecik,3,1,110,9,2,30000
2049,izmir,urla,barbaros,3,1,125,2,0,20000
2052,izmir,bayrakli,tepekule,3,1,140,15,5,22500
2053,izmir,seferihisar,camikebir,3,1,160,7,1,22000
2055,izmir,karabaglar,doganay,2,1,105,30,3,16000
2056,izmir,dikili,salihler,3,1,140,2,0,45000
2057,izmir,urla,kalabak,4,1,196,0,2,55000
