,city,district,neighborhood,room,living_room,area,age,floor,price
6817,mugla,dalaman,altintas,2,1,95,4,3,15000
6818,mugla,ortaca,terzialiler,3,1,160,20,1,13000
6820,mugla,bodrum,umurca,2,1,105,26,0,25000
6821,mugla,dalaman,ege,3,1,135,10,2,20000
6822,mugla,bodrum,gumusluk,2,1,102,3,2,25000
6823,mugla,mentese,kotekli,2,1,65,15,3,12000
6824,mugla,ortaca,eskikoy,3,1,160,2,2,25000
6825,mugla,mentese,kotekli,1,1,45,1,1,10000
6826,mugla,bodrum,bahcelievler,3,1,120,2,0,30000
6827,mugla,fethiye,foca,2,1,90,7,0,25000
6829,mugla,milas,oren,2,1,80,2,0,20000
6830,mugla,fethiye,inlice,1,1,60,2,2,3000
6831,mugla,marmaris,tepe,3,1,120,21,3,25000
6832,mugla,bodrum,eskicesme,1,1,45,0,0,30000
6833,mugla,ortaca,karaburun,2,1,90,0,3,12000
6834,mugla,dalaman,karacali,2,1,85,3,1,10000
6835,mugla,fethiye,ciftlik,4,1,200,11,2,45000
6836,mugla,koycegiz,gelisim,2,1,110,10,0,15000
6838,mugla,milas,bogazici,3,1,120,15,2,35000
6839,mugla,ortaca,karaburun,1,1,65,0,1,11000
6841,mugla,fethiye,yeni,2,1,95,5,5,11000
6842,mugla,koycegiz,gelisim,4,1,170,5,2,25000
6843,mugla,dalaman,hurriyet,1,1,55,3,2,11250
6845,mugla,bodrum,muskebi,3,1,120,3,2,40000
6849,mugla,mentese,karamehmet,3,1,140,20,1,18000
6850,mugla,fethiye,foca,1,1,55,0,1,13000
6851,mugla,mentese,seyh,2,1,100,25,1,18000
6852,mugla,ortaca,karaburun,2,1,95,1,3,16000
6853,mugla,milas,aydinlikevler,3,1,115,30,1,15000
6854,mugla,milas,becin,3,1,125,15,3,14500
6855,mugla,koycegiz,gulpinar,2,1,115,20,3,15000
6857,mugla,mentese,bayir,3,1,155,10,1,17000
6859,mugla,ortaca,guzelyurt,3,1,151,10,2,16000
6860,mugla,ula,gokova,3,1,130,20,2,20500
6861,mugla,bodrum,turgutreis,3,1,130,12,2,35000
6862,mugla,bodrum,carsi,2,1,90,31,0,38000
6864,mugla,koycegiz,toparlar,2,1,75,1,1,15000
6865,mugla,ortaca,bahcelievler,2,1,80,0,1,12000
6867,mugla,bodrum,geris,2,1,110,12,5,25000
6868,mugla,fethiye,patlangic,2,1,80,0,1,13000
6869,mugla,marmaris,armutalan,2,1,75,25,2,25000
6871,mugla,mentese,yenikoy,2,1,55,15,3,15000
6872,mugla,yatagan,yeni,3,1,125,11,3,12000
6874,mugla,mentese,kotekli,2,1,60,15,3,11000
6875,mugla,milas,haci_ilyas,3,1,120,20,3,15000
6876,mugla,bodrum,bitez,2,1,90,10,0,35000
6877,mugla,fethiye,foca,2,1,80,1,5,15000
6878,mugla,fethiye,yeni,2,1,105,5,5,12000
6879,mugla,dalaman,altintas,2,1,80,0,0,20000
6880,mugla,marmaris,armutalan,2,1,100,11,2,40000
6883,mugla,bodrum,kumbahce,3,1,145,13,3,60000
6884,mugla,fethiye,tuzla,3,1,200,5,2,25000
6885,mugla,fethiye,yaniklar,2,1,90,2,2,13500
6890,mugla,bodrum,geris,2,1,82,7,3,50000
6892,mugla,mentese,emirbeyazit,3,1,150,30,5,16000
6893,mugla,mentese,muslihittin,3,1,135,20,5,20000
6894,mugla,bodrum,geris,2,1,85,14,3,26500
6897,mugla,milas,bogazici,3,1,180,12,2,35000
6899,mugla,marmaris,icmeler,1,1,70,1,2,25000
6900,mugla,dalaman,merkez,1,1,57,3,3,11500
6901,mugla,datca,kizlan,1,1,65,4,0,13000
6902,mugla,bodrum,koyunbaba,3,1,120,25,2,40000
6906,mugla,fethiye,gocek,4,1,200,2,2,50000
6908,mugla,datca,iskele,2,1,140,25,0,16000
6909,mugla,dalaman,ege,4,1,160,0,2,3000
6910,mugla,marmaris,tepe,1,1,50,15,5,50000
6911,mugla,datca,iskele,2,1,100,9,5,20000
6912,mugla,bodrum,kucukbuk,1,1,55,4,2,40000
6914,mugla,milas,bogazici,2,1,100,15,2,60000
6915,mugla,bodrum,eskicesme,2,1,110,10,2,34000
6917,mugla,milas,oren,2,1,125,10,0,15000
6918,mugla,bodrum,geris,1,1,60,15,0,20000
6920,mugla,fethiye,kargi,2,1,125,16,2,50000
6921,mugla,bodrum,cirkan,2,1,95,30,0,55000
6923,mugla,dalaman,ege,4,1,160,5,2,20000
6926,mugla,milas,gulluk,2,1,90,1,1,25000
6929,mugla,bodrum,turkbuku,3,1,110,15,0,60000
6930,mugla,fethiye,oludeniz,3,1,170,2,2,4100
6932,mugla,mentese,yerkesik,4,1,135,21,2,20000
6933,mugla,bodrum,karabag,3,1,160,16,0,30000
6940,mugla,fethiye,akarca,3,1,150,1,2,44000
6941,mugla,milas,becin,2,1,70,5,1,16350
6942,mugla,ortaca,okcular,2,1,86,0,2,15000
6943,mugla,bodrum,bahcelievler,1,1,50,25,1,55000
6945,mugla,dalaman,karacali,3,1,170,16,1,14000
6946,mugla,datca,resadiye,3,1,140,4,0,30000
6947,mugla,ula,akyaka,1,1,50,20,0,15000
6949,mugla,bodrum,turkbuku,2,1,82,1,3,50000
6950,mugla,fethiye,akarca,2,1,70,3,3,20000
6951,mugla,marmaris,tepe,2,1,100,16,3,25000
6952,mugla,mentese,kotekli,2,1,75,9,3,17000
6953,mugla,ortaca,guzelyurt,3,1,140,12,1,13000
6954,mugla,milas,kiyikislacik,1,1,58,25,2,60000
6957,mugla,fethiye,foca,3,1,160,15,2,42000
6958,mugla,bodrum,eskicesme,3,1,150,16,2,50000
6959,mugla,dalaman,atakent,3,1,156,3,3,15500
6960,mugla,marmaris,kemeralti,2,1,95,16,2,29000
6961,mugla,dalaman,altintas,1,1,55,4,1,9000
6962,mugla,fethiye,foca,4,1,210,26,2,30000
